English,Spanish
and,y
to,a
in,en
a,a
is,es
was,era
that,eso
for,para
as,como
with,con
by,por
on,en
are,son
from,de
be,ser
or,o
his,su
it,él
an,un
at,en
which,cual
have,tener
had,tenía
this,este
has,tiene
also,también
their,su
but,pero
one,uno
can,poder
its,es
on,en
the,el
they,ellos
used,usado
first,primero
all,todo
two,dos
citation,citación
would,haría
only,solo
who,OMS
most,mayoría
may,puede
such,semejante
some,alguno
many,muchos
when,cuando
over,encima
about,acerca de
there,allá
no,No
them,a ellos
new,nuevo
him,a él
will,voluntad
out,afuera
during,durante
made,hecho
both,ambos
then,entonces
often,a menudo
any,cualquier
being,ser
such,semejante
as,como
where,dónde
number,número
could,podría
p.,pag.
through,a través de
people,gente
known,conocido
each,cada
while,mientras
called,llamado
convert,convertir
same,mismo
three,tres
because,porque
work,trabajar
before,antes
the,el
same,mismo
under,bajo
part,parte
very,muy
different,diferente
became,convertirse
year,año
did,hizo
large,grande
example,ejemplo
early,temprano
until,hasta
much,mucho
found,encontró
own,propio
since,desde
she,ella
even,incluso
do,hacer
those,aquellos
around,alrededor
state,estado
including,incluido
set,colocar
high,alto
life,vida
against,contra
second,segundo
within,dentro
world,mundo
end,fin
using,usando
small,pequeño
name,nombre
what,qué
now,ahora
American,Americano
however,sin embargo
began,comenzó
like,como
as,como
well,Bueno
area,área
make,hacer
common,común
the,el
most,mayoría
water,agua
United,Unido
States,Estados
another,otro
due,pendiente
must,debe
long,largo
less,menos
death,muerte
said,dicho
film,película
order,orden
due,pendiente
to,a
back,atrás
public,público
does,hace
left,izquierda
based,basado
few,pocos
known,conocido
as,como
s,s
given,dado
country,país
group,grupo
considered,consideró
among,entre
game,juego
point,punto
used,usado
to,a
support,apoyo
war,guerra
music,música
down,abajo
million,millón
important,importante
control,control
should,debería
took,tomó
day,día
family,familia
language,idioma
last,último
original,original
political,político
line,línea
members,miembros
as,como
well,Bueno
as,como
see,ver
single,soltero
just,justo
process,proceso
along,a lo largo de
similar,similar
we,nosotros
although,a pesar de
countries,países
right,bien
either,cualquiera
times,veces
areas,áreas
published,publicado
the,el
other,otro
local,local
include,incluir
population,población
never,nunca
data,datos
home,hogar
every,cada
various,varios
the,el
time,tiempo
modern,moderno
further,más
development,desarrollo
per,por
led,condujo
military,militar
popular,popular
term,término
generally,generalmente
you,tú
off,apagado
rather,bastante
men,hombres
law,ley
developed,desarrollado
German,Alemán
held,sostuvo
human,humano
production,producción
body,cuerpo
general,general
the,el
world,mundo
light,luz
sometimes,a veces
states,estados
late,tarde
field,campo
based,basado
on,en
having,teniendo
came,vino
above,arriba
available,disponible
book,libro
others,otros
created,creado
U.S.,A NOSOTROS.
show,espectáculo
out,afuera
wrote,escribió
days,días
died,fallecido
word,palabra
play,jugar
again,de nuevo
great,excelente
service,servicio
seen,visto
children,niños
level,nivel
released,liberado
continued,continuado
pp.,páginas.
the,el
two,dos
five,cinco
higher,más alto
species,especies
energy,energía
required,requerido
change,cambiar
means,medio
team,equipo
January,Enero
information,información
theory,teoría
New,Nuevo
York,York
produced,producido
built,construido
role,role
addition,suma
included,incluido
almost,casi
side,lado
position,posición
groups,grupos
de,Delaware
land,tierra
total,total
range,rango
national,nacional
space,espacio
written,escrito
social,social
version,versión
Europe,Europa
season,estación
air,aire
allowed,permitido
largest,más grande
good,bien
type,tipo
itself,sí mismo
received,recibió
throughout,a lo largo de
taken,tomado
standard,estándar
little,pequeño
least,el menos
that,eso
is,es
free,gratis
size,tamaño
thus,de este modo
school,escuela
especially,especialmente
old,viejo
particular,particular
effect,efecto
provide,proporcionar
lower,más bajo
certain,cierto
together,juntos
present,presente
short,corto
parts,partes
words,palabras
third,tercero
April,Abril
described,descrito
too,también
up,arriba
to,a
established,establecido
might,podría
played,jugó
forces,efectivo
natural,natural
June,Junio
once,una vez
months,meses
European,europeo
numbers,números
six,seis
man,hombre
rather,bastante
than,que
hand,mano
typically,típicamente
value,valor
England,Inglaterra
October,Octubre
could,podría
be,ser
final,final
the,el
country,país
average,promedio
France,Francia
instead,en cambio
current,actual
December,Diciembre
international,internacional
program,programa
character,personaje
increased,aumentó
a,a
few,pocos
surface,superficie
across,al otro lado de
thought,pensamiento
company,compañía
followed,seguido
best,mejor
provided,proporcionó
significant,significativo
named,llamado
function,función
building,edificio
return,devolver
uses,usos
fact,hecho
study,estudiar
below,abajo
full,lleno
source,fuente
lost,perdido
person,persona
a,a
number,número
changes,cambios
longer,más extenso
individual,individual
strong,fuerte
structure,estructura
party,fiesta
larger,más grande
run,correr
away,lejos
region,región
food,alimento
increase,aumentar
outside,afuera
started,comenzó
material,material
cannot,no puedo
November,Noviembre
half,medio
head,cabeza
market,mercado
near,cerca
traditional,tradicional
special,especial
style,estilo
all,todo
the,el
sent,enviado
story,historia
player,jugador
designed,diseñado
top,arriba
at,en
least,el menos
themselves,ellos mismos
returned,devuelto
because,porque
of,de
types,tipos
events,eventos
network,red
limited,limitado
services,servicios
nature,naturaleza
army,ejército
former,anterior
father,padre
view,vista
allow,permitir
specific,específico
elements,elementos
practice,práctica
lines,líneas
gave,dio
pressure,presión
introduced,introducido
produce,producir
moved,movido
whether,si
religious,religioso
official,oficial
movement,movimiento
my,mi
Germany,Alemania
students,estudiantes
trade,comercio
method,método
in,en
order,orden
problems,problemas
art,arte
eventually,eventualmente
referred,referido
results,resultados
caused,causado
remained,se mantuvo
influence,influencia
success,éxito
meaning,significado
brought,trajo
believed,creído
enough,suficiente
features,características
give,dar
young,joven
white,blanco
culture,cultura
problem,problema
characters,caracteres
action,acción
referred,referido
to,a
conditions,condiciones
performance,actuación
according,de acuerdo a
to,a
effects,efectos
amount,cantidad
black,negro
business,negocio
working,laboral
difficult,difícil
temperature,temperatura
real,real
money,dinero
directly,directamente
sound,sonido
ground,suelo
therefore,por lo tanto
get,conseguir
particularly,particularmente
Chinese,Chino
television,televisión
south,sur
cities,ciudades
class,clase
beginning,comienzo
community,comunidad
already,ya
go,ir
players,jugadores
associated,asociado
related,relacionado
physical,físico
our,nuestro
town,ciudad
complex,complejo
interest,interés
rule,regla
speed,velocidad
commonly,comúnmente
in,en
order,orden
to,a
living,viviendo
for,para
example,ejemplo
greater,mayor que
writing,escribiendo
find,encontrar
growth,crecimiento
killed,delicado
court,corte
levels,nivel
house,casa
against,contra
the,el
office,oficina
done,hecho
shows,espectáculos
Spanish,Español
needed,necesario
central,central
entire,completo
fire,fuego
son,hijo
books,libros
mostly,principalmente
access,acceso
soon,pronto
today,hoy
variety,variedad
additional,adicional
percent,por ciento
foreign,extranjero
ever,alguna vez
recorded,grabado
future,futuro
widely,ampliamente
title,título
all,todo
of,de
shown,mostrado
successful,exitoso
radio,radio
project,proyecto
changed,cambió
remains,restos
personal,personal
policy,política
includes,incluir
involved,involucrado
Africa,África
idea,idea
names,nombres
separate,separado
base,base
length,longitud
rules,normas
likely,probable
makes,marcas
release,liberar
cost,costo
church,iglesia
films,Película (s
majority,mayoría
primary,primario
performed,realizado
methods,métodos
stated,fijado
appear,aparecer
whole,entero
so,entonces
that,eso
member,miembro
allows,permitir
decided,decidido
Japanese,japonés
reported,reportado
sold,vendido
capital,capital
science,ciencia
society,sociedad
rest,descansar
stage,escenario
event,evento
recent,reciente
color,color
legal,legal
highly,altamente
career,carrera
song,canción
frequently,frecuentemente
placed,metido
simple,simple
defined,definido
me,a mí
mother,madre
appeared,apareció
India,India
schools,escuelas
turn,doblar
simply,simplemente
relationship,relación
multiple,múltiple
nearly,cerca de
sense,sentido
past,pasado
relatively,relativamente
forced,forzado
attempt,intentar
north,norte
quickly,rápidamente
companies,compañías
programs,programas
products,productos
sources,fuentes
previous,anterior
technology,tecnología
battle,batalla
front,frente
necessary,necesario
originally,originalmente
along,a lo largo de
with,con
approach,acercarse
image,imagen
Greek,Griego
parts,partes
of,de
text,texto
completed,terminado
memory,memoria
ability,capacidad
UK,Reino Unido
health,salud
replaced,reemplazado
worked,trabajó
yet,todavía
start,comenzar
economy,economía
highest,el más alto
property,propiedad
behind,detrás
knowledge,conocimiento
test,prueba
response,respuesta
largely,en gran parte
sea,mar
reached,alcanzó
president,presidente
wide,ancho
night,noche
operations,operaciones
supported,soportado
reason,razón
list,lista
issues,asuntos
the,el
government,gobierno
reduced,reducido
active,activo
functions,funciones
remain,permanecer
lack,falta
to,a
do,hacer
clear,claro
gas,gas
cells,células
taking,tomando
contains,contiene
takes,acepta
approximately,aproximadamente
distance,distancia
intended,destinado
elected,elegido
product,producto
adopted,adoptado
actually,de hecho
wife,esposa
ended,terminado
born,nacido
Christian,cristiano
keep,mantener
potential,potencial
matter,asunto
love,amar
issue,asunto
objects,objetos
things,cosas
heavy,pesado
oil,aceite
