English,Spanish
the,el
of,de
and,y
to,a
in,en
a,a
is,es
was,era
that,eso
for,para
as,como
with,con
by,por
on,en
are,son
from,de
be,ser
or,o
his,su
were,eran
it,él
an,un
at,en
not,no
which,cual
have,tener
he,él
had,tenía
this,este
has,tiene
also,también
their,su
but,pero
one,uno
can,poder
its,es
on,en
the,el
other,otro
been,estado
more,más
they,ellos
used,usado
first,primero
all,todo
two,dos
citation,citación
than,que
into,en
would,haría
only,solo
time,tiempo
who,OMS
most,mayoría
may,puede
such,semejante
some,alguno
many,muchos
when,cuando
after,después
between,entre
over,encima
these,estos
her,su
about,acerca de
there,allá
use,usar
no,No
them,a ellos
new,nuevo
him,a él
will,voluntad
out,afuera
during,durante
made,hecho
both,ambos
then,entonces
often,a menudo
so,entonces
any,cualquier
being,ser
such,semejante
as,como
where,dónde
number,número
could,podría
main,principal
p.,pag.
through,a través de
system,sistema
people,gente
known,conocido
each,cada
while,mientras
if,si
called,llamado
convert,convertir
same,mismo
later,más tarde
three,tres
because,porque
well,Bueno
work,trabajar
before,antes
the,el
same,mismo
under,bajo
part,parte
very,muy
different,diferente
became,convertirse
year,año
did,hizo
large,grande
example,ejemplo
several,varios
city,ciudad
early,temprano
until,hasta
much,mucho
government,gobierno
found,encontró
own,propio
since,desde
she,ella
even,incluso
form,forma
power,fuerza
do,hacer
those,aquellos
around,alrededor
state,estado
including,incluido
set,colocar
high,alto
life,vida
against,contra
second,segundo
century,siglo
within,dentro
world,mundo
still,aún
end,fin
using,usando
small,pequeño
name,nombre
what,qué
now,ahora
usually,generalmente
American,Americano
without,sin
however,sin embargo
began,comenzó
like,como
as,como
well,Bueno
area,área
make,hacer
common,común
the,el
most,mayoría
water,agua
United,Unido
States,Estados
another,otro
way,forma
due,pendiente
must,debe
long,largo
less,menos
four,cuatro
death,muerte
said,dicho
film,película
order,orden
due,pendiente
to,a
back,atrás
public,público
does,hace
left,izquierda
based,basado
few,pocos
become,convertirse
known,conocido
as,como
s,s
given,dado
country,país
major,importante
British,británico
place,lugar
group,grupo
considered,consideró
among,entre
game,juego
point,punto
used,usado
to,a
period,período
support,apoyo
war,guerra
music,música
down,abajo
million,millón
important,importante
systems,sistemas
control,control
should,debería
took,tomó
day,día
family,familia
language,idioma
last,último
original,original
result,resultado
political,político
line,línea
members,miembros
case,caso
as,como
well,Bueno
as,como
see,ver
single,soltero
just,justo
process,proceso
along,a lo largo de
similar,similar
take,llevar
following,siguiente
we,nosotros
although,a pesar de
countries,países
right,bien
either,cualquiera
times,veces
areas,áreas
published,publicado
the,el
other,otro
local,local
include,incluir
population,población
never,nunca
data,datos
home,hogar
every,cada
various,varios
the,el
time,tiempo
modern,moderno
further,más
development,desarrollo
per,por
how,cómo
led,condujo
possible,posible
military,militar
popular,popular
term,término
though,aunque
history,historia
generally,generalmente
you,tú
off,apagado
rather,bastante
men,hombres
law,ley
